2025-12-09 10:03:44:  Start checking... 
2025-12-09 10:03:44: bl.spamcop.net -----------------------------  √
2025-12-09 10:03:46: dnsbl.sorbs.net -----------------------------  √
2025-12-09 10:03:48: multi.surbl.org -----------------------------  √
2025-12-09 10:03:50: http.dnsbl.sorbs.net -----------------------------  √
2025-12-09 10:03:52: misc.dnsbl.sorbs.net -----------------------------  √
2025-12-09 10:03:54: socks.dnsbl.sorbs.net -----------------------------  √
2025-12-09 10:03:56: web.dnsbl.sorbs.net -----------------------------  √
2025-12-09 10:03:58: rbl.spamlab.com -----------------------------  √
2025-12-09 10:04:00: cbl.anti-spam.org.cn ----------------------------- Invalid
2025-12-09 10:04:00: httpbl.abuse.ch -----------------------------  √
2025-12-09 10:04:02: virbl.bit.nl -----------------------------  √
2025-12-09 10:04:04: dsn.rfc-ignorant.org -----------------------------  √
2025-12-09 10:04:06: opm.tornevall.org -----------------------------  √
2025-12-09 10:04:08: multi.surbl.org -----------------------------  √
2025-12-09 10:04:10: relays.mail-abuse.org -----------------------------  √
2025-12-09 10:04:12: rbl-plus.mail-abuse.org -----------------------------  √
2025-12-09 10:04:14: rbl.interserver.net -----------------------------  √
2025-12-09 10:04:17: dul.dnsbl.sorbs.net -----------------------------  √
2025-12-09 10:04:19: smtp.dnsbl.sorbs.net -----------------------------  √
2025-12-09 10:04:21: spam.dnsbl.sorbs.net -----------------------------  √
2025-12-09 10:04:23: zombie.dnsbl.sorbs.net -----------------------------  √
2025-12-09 10:04:25: drone.abuse.ch -----------------------------  √
2025-12-09 10:04:27: rbl.suresupport.com -----------------------------  √
2025-12-09 10:04:30: spamguard.leadmon.net -----------------------------  √
2025-12-09 10:04:32: netblock.pedantic.org -----------------------------  √
2025-12-09 10:04:34: blackholes.mail-abuse.org -----------------------------  √
2025-12-09 10:04:36: dnsbl.dronebl.org -----------------------------  √
2025-12-09 10:04:38: query.senderbase.org -----------------------------  √
2025-12-09 10:04:40: csi.cloudmark.com -----------------------------  √
2025-12-09 10:04:42: 0spam-killlist.fusionzero.com -----------------------------  √
2025-12-09 10:04:44: access.redhawk.org -----------------------------  √
2025-12-09 10:04:54: all.rbl.jp -----------------------------  √
2025-12-09 10:04:57: all.spam-rbl.fr -----------------------------  √
2025-12-09 10:05:02: all.spamrats.com -----------------------------  √
2025-12-09 10:05:09: aspews.ext.sorbs.net -----------------------------  √
2025-12-09 10:05:11: b.barracudacentral.org -----------------------------  √
2025-12-09 10:05:13: backscatter.spameatingmonkey.net -----------------------------  √
2025-12-09 10:05:16: badnets.spameatingmonkey.net -----------------------------  √
2025-12-09 10:05:18: bb.barracudacentral.org -----------------------------  √
2025-12-09 10:05:20: bl.drmx.org -----------------------------  √
2025-12-09 10:05:23: bl.konstant.no -----------------------------  √
2025-12-09 10:05:25: bl.nszones.com -----------------------------  √
2025-12-09 10:05:27: bl.spamcannibal.org -----------------------------  √
2025-12-09 10:05:29: bl.spameatingmonkey.net -----------------------------  √
2025-12-09 10:05:31: bl.spamstinks.com -----------------------------  √
2025-12-09 10:05:33: black.junkemailfilter.com -----------------------------  √
2025-12-09 10:05:35: blackholes.five-ten-sg.com -----------------------------  √
2025-12-09 10:05:38: blacklist.sci.kun.nl -----------------------------  √
2025-12-09 10:05:40: blacklist.woody.ch -----------------------------  √
2025-12-09 10:05:42: bogons.cymru.com -----------------------------  √
2025-12-09 10:05:44: bsb.empty.us -----------------------------  √
2025-12-09 10:05:46: bsb.spamlookup.net -----------------------------  √
2025-12-09 10:05:48: cart00ney.surriel.com -----------------------------  √
